product_name,keyword,product_cost,shipping_cost,estimated_sale_price,supplier_url,category
Ankle Resistance Bands,ankle resistance bands,5.50,2.50,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=ankle+resistance+bands,fitness
Workout Sliders,core sliders fitness,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=core+sliders+fitness,fitness
Foam Roller,foam roller,8.00,5.00,32.99,https://www.dhgate.com/wholesale/search.do?searchkey=foam+roller,fitness
Pet Grooming Glove,pet grooming glove,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+grooming+glove,pets
Slow Feeder Dog Bowl,slow feeder dog bowl,4.50,3.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=slow+feeder+dog+bowl,pets
Portable Pet Water Bottle,portable dog water bottle,5.50,3.00,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=portable+dog+water+bottle,pets
Pet Hair Remover Roller,pet hair remover roller,4.00,2.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+hair+remover+roller,pets
Cat Water Fountain,cat water fountain,12.00,5.00,39.99,https://www.dhgate.com/wholesale/search.do?searchkey=cat+water+fountain,pets
Dog Car Seat Cover,dog car seat cover,10.00,5.00,36.99,https://www.dhgate.com/wholesale/search.do?searchkey=dog+car+seat+cover,pets
Cat Window Hammock,cat window hammock,8.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=cat+window+hammock,pets
LED Dog Collar,led dog collar,4.50,2.50,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=led+dog+collar,pets
Pet Nail Grinder,pet nail grinder,8.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+nail+grinder,pets
Interactive Cat Toy,interactive cat toy,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=interactive+cat+toy,pets
Car Seat Gap Filler,car seat gap filler,6.00,3.00,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+seat+gap+filler,car
Car Trunk Organizer,car trunk organizer,9.00,5.00,34.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+trunk+organizer,car
Car Phone Mount,magnetic car phone mount,4.50,2.50,18.99,https://www.dhgate.com/wholesale/search.do?searchkey=magnetic+car+phone+mount,car
Tire Pressure Gauge,digital tire pressure gauge,5.50,3.00,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=digital+tire+pressure+gauge,car
Car Trash Can,car trash can,5.00,3.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+trash+can,car
Screen Cleaning Kit,screen cleaning kit,3.00,2.00,14.99,https://www.dhgate.com/wholesale/search.do?searchkey=screen+cleaning+kit,tech
Magnetic Wireless Charger,magnetic wireless charger,9.00,4.00,34.99,https://www.dhgate.com/wholesale/search.do?searchkey=magnetic+wireless+charger,tech
USB C Hub,usb c hub,8.50,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=usb+c+hub,tech
Phone Tripod Stand,phone tripod stand,7.00,3.50,26.99,https://www.dhgate.com/wholesale/search.do?searchkey=phone+tripod+stand,tech
Laptop Stand,foldable laptop stand,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=foldable+laptop+stand,tech
Waterproof 58MP Outdoor Camera,waterproof outdoor camera,23.47,0.00,93.88,https://www.zendrop.com/dropshipping-products/,tech
Non-Stick Frying Pan,non-stick frying pan,14.31,0.00,57.24,https://www.zendrop.com/dropshipping-products/,kitchen
Teddy Bear Silicone Phone Case,teddy bear silicone phone case,2.67,0.00,10.68,https://www.zendrop.com/dropshipping-products/,tech
Pet Rope Toy Set 12 PCS,pet rope toy set,5.16,0.00,20.64,https://www.zendrop.com/dropshipping-products/,pets
Pet Hair Remover Glove,pet hair remover glove,0.73,0.00,2.92,https://www.zendrop.com/dropshipping-products/,pets
Automatic Dog Water Bowl,automatic dog water bowl,2.77,0.00,11.08,https://www.zendrop.com/dropshipping-products/,pets
Dog and Cat Pet Bed Mat,dog cat pet bed mat,6.49,0.00,25.96,https://www.zendrop.com/dropshipping-products/,pets
Facial Massager Beauty Device,facial massager beauty device,11.81,0.00,47.24,https://www.zendrop.com/dropshipping-products/,beauty
Hydrating Face Mask,hydrating face mask,0.84,0.00,3.36,https://www.zendrop.com/dropshipping-products/,beauty
Natural Beauty Drops,natural beauty drops,2.63,0.00,10.52,https://www.zendrop.com/dropshipping-products/,beauty
Multifunction Kitchen Storage Box,multifunction kitchen storage box,0.53,0.00,2.12,https://www.zendrop.com/dropshipping-products/,kitchen
LED Waterfall Light Chain,led waterfall light chain,2.96,0.00,11.84,https://www.zendrop.com/dropshipping-products/,home
Two-Tier Kitchen Storage Rack,two-tier kitchen storage rack,2.00,0.00,8.00,https://www.zendrop.com/dropshipping-products/,kitchen
Succulent Planter Decor,succulent planter decor,2.28,0.00,9.12,https://www.zendrop.com/dropshipping-products/,home
Wireless Bluetooth Mouse,wireless bluetooth mouse,1.03,0.00,4.12,https://www.zendrop.com/dropshipping-products/,tech
Flexible Octopus Tripod,flexible octopus tripod,0.41,0.00,1.64,https://www.zendrop.com/dropshipping-products/,tech
Bluetooth Speaker with LED Light,bluetooth speaker led light,4.96,0.00,19.84,https://www.zendrop.com/dropshipping-products/,tech
Portable Vinyl Record Player,portable vinyl record player,56.88,0.00,227.52,https://www.zendrop.com/dropshipping-products/,tech
Fitness Shake Cup,fitness shake cup,3.21,0.00,12.84,https://www.zendrop.com/dropshipping-products/,fitness
Smart Fitness Ring,smart fitness ring,4.14,0.00,16.56,https://www.zendrop.com/dropshipping-products/,fitness
Polka Dot Maxi Dress,polka dot maxi dress,3.82,0.00,15.28,https://www.zendrop.com/dropshipping-products/,clothing
Men's Slim Fit Casual Blazer,mens slim fit casual blazer,18.71,0.00,74.84,https://www.zendrop.com/dropshipping-products/,clothing
Women's Slip-On Loafers and Oxford Shoes,womens slip-on loafers oxford shoes,4.58,0.00,18.32,https://www.zendrop.com/dropshipping-products/,clothing
Vintage Gemstone Dangle Earrings,vintage gemstone dangle earrings,0.55,0.00,2.20,https://www.zendrop.com/dropshipping-products/,jewelry
Face Roller Beauty,face roller beauty,15.01,0.00,40.53,https://www.zendrop.com/beauty-products/,beauty
Nine-Color Eyeshadow Palette,nine-color eyeshadow palette,1.28,0.00,3.46,https://www.zendrop.com/beauty-products/,beauty
Hot Compress Eye Beauty Device,hot compress eye beauty device,3.51,0.00,9.48,https://www.zendrop.com/beauty-products/,beauty
Sakura Skin Care 4-Piece Set,sakura skin care set,1.86,0.00,5.02,https://www.zendrop.com/beauty-products/,beauty
Silicone Cleansing and Exfoliating Brush,silicone cleansing exfoliating brush,0.41,0.00,1.11,https://www.zendrop.com/beauty-products/,beauty
Skin Firming Rejuvenating Serum,skin firming rejuvenating serum,7.01,0.00,18.93,https://www.zendrop.com/beauty-products/,beauty
Beauty Facial Massager,beauty facial massager,11.81,0.00,31.89,https://www.zendrop.com/beauty-products/,beauty
LED Silicone Photon Face Mask,led silicone photon face mask,17.36,0.00,46.87,https://www.zendrop.com/beauty-products/,beauty
5-in-1 Automatic Hot Air Comb,automatic hot air comb,6.68,0.00,18.04,https://www.zendrop.com/beauty-products/,beauty
Silky Clear Makeup Primer,silky clear makeup primer,0.58,0.00,1.57,https://www.zendrop.com/beauty-products/,beauty
Highlighter Makeup Stick Duo,highlighter makeup stick duo,12.10,0.00,32.67,https://www.zendrop.com/beauty-products/,beauty
Makeup Set,makeup set,4.97,0.00,13.42,https://www.zendrop.com/beauty-products/,beauty
Natural Jade Beauty Device,natural jade beauty device,2.05,0.00,5.54,https://www.zendrop.com/beauty-products/,beauty
Natural Eyelash Serum,natural eyelash serum,1.81,0.00,4.89,https://www.zendrop.com/beauty-products/,beauty
Pet Smart Water Dispenser 3L,pet smart water dispenser,5.12,0.00,20.48,https://www.zendrop.com/pet-supplies/,pets
Automatic Dog Water Dispenser with Double Bowls,automatic dog water dispenser double bowls,2.77,0.00,11.08,https://www.zendrop.com/pet-supplies/,pets
Smart Bird Feeder,smart bird feeder,2.85,0.00,11.40,https://www.zendrop.com/pet-supplies/,pets
Interactive Pet Feeder Toy,interactive pet feeder toy,11.21,0.00,44.84,https://www.zendrop.com/pet-supplies/,pets
Adjustable Chest Strap Dog Collar,adjustable dog collar chest strap,0.83,0.00,3.32,https://www.zendrop.com/pet-supplies/,pets
Pet Safety Belt for Dogs,pet safety belt for dogs,9.35,0.00,37.40,https://www.zendrop.com/pet-supplies/,pets
LED Aurora Bedside Night Light,led aurora bedside night light,6.68,0.00,26.72,https://www.zendrop.com/tech-products/,tech
Touch Sensor Cabinet LED Light Bar,touch sensor cabinet led light bar,5.16,0.00,20.64,https://www.zendrop.com/tech-products/,tech
Invisible Laptop Bracket,invisible laptop bracket,3.63,0.00,14.52,https://www.zendrop.com/tech-products/,tech
RGB Gaming Headset,rgb gaming headset,17.11,0.00,68.44,https://www.zendrop.com/tech-products/,tech
Wireless Gaming Mouse,wireless gaming mouse,23.95,0.00,95.80,https://www.zendrop.com/tech-products/,tech
Mechanical Gaming Keyboard,mechanical gaming keyboard,41.61,0.00,166.44,https://www.zendrop.com/tech-products/,tech
